"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 16 21:24:45 CST 2023","Thu Feb 16 21:24:46 CST 2023","84","","test_func_case","","","","test_username_is_null",""
"passed","Thu Feb 16 21:24:48 CST 2023","Thu Feb 16 21:24:48 CST 2023","417","","test_shop_apis","TestCreateTradeApi","","","test_create_trade[BUY_NOW-NATIVE]",""
"passed","Thu Feb 16 21:24:51 CST 2023","Thu Feb 16 21:24:51 CST 2023","683","","test_shop_apis","TestCreateTradeApi","","","test_create_trade[CART-MINI]",""
"passed","Thu Feb 16 21:24:46 CST 2023","Thu Feb 16 21:24:46 CST 2023","175","","test_shop_apis","TestBuyNowApi","","","test_buy_now_skuid_not_exsits",""
"passed","Thu Feb 16 21:24:48 CST 2023","Thu Feb 16 21:24:48 CST 2023","427","","test_shop_apis","TestCreateTradeApi","","","test_create_trade[BUY_NOW-WAP]",""
"passed","Thu Feb 16 21:24:49 CST 2023","Thu Feb 16 21:24:49 CST 2023","593","","test_shop_apis","TestCreateTradeApi","","","test_create_trade[CART-PC]",""
"passed","Thu Feb 16 21:24:47 CST 2023","Thu Feb 16 21:24:47 CST 2023","177","","test_shop_apis","TestBuyNowApi","","","test_buy_now_exception[num为0-541-0-400-004-购买数量必须大于0]",""
"passed","Thu Feb 16 21:24:47 CST 2023","Thu Feb 16 21:24:47 CST 2023","174","","test_shop_apis","TestBuyNowApi","","","test_buy_now_exception[num为负数-541--1-400-004-购买数量必须大于0]",""
"passed","Thu Feb 16 21:24:47 CST 2023","Thu Feb 16 21:24:48 CST 2023","417","","test_shop_apis","TestCreateTradeApi","","","test_create_trade[BUY_NOW-PC]",""
"passed","Thu Feb 16 21:24:46 CST 2023","Thu Feb 16 21:24:46 CST 2023","198","","test_shop_apis","TestBuyNowApi","","","test_buy_now_sccess",""
"passed","Thu Feb 16 21:24:50 CST 2023","Thu Feb 16 21:24:51 CST 2023","610","","test_shop_apis","TestCreateTradeApi","","","test_create_trade[CART-NATIVE]",""
"passed","Thu Feb 16 21:24:46 CST 2023","Thu Feb 16 21:24:46 CST 2023","181","","test_shop_apis","TestBuyNowApi","","","test_buy_now_exception[sku_id 不存在-4882626-1-500-004-不合法]",""
"passed","Thu Feb 16 21:24:45 CST 2023","Thu Feb 16 21:24:45 CST 2023","173","","test_class_case","TestLogin","","","test_username_is_null",""
"failed","Thu Feb 16 21:24:46 CST 2023","Thu Feb 16 21:24:46 CST 2023","187","","test_shop_apis","TestBuyNowApi","","","test_buy_now_exception[产品已下架-542-1-500-004-不合法]",""
"passed","Thu Feb 16 21:24:49 CST 2023","Thu Feb 16 21:24:50 CST 2023","595","","test_shop_apis","TestCreateTradeApi","","","test_create_trade[CART-WAP]",""
"passed","Thu Feb 16 21:24:48 CST 2023","Thu Feb 16 21:24:49 CST 2023","405","","test_shop_apis","TestCreateTradeApi","","","test_create_trade[BUY_NOW-MINI]",""
"failed","Thu Feb 16 21:24:46 CST 2023","Thu Feb 16 21:24:47 CST 2023","193","","test_shop_apis","TestBuyNowApi","","","test_buy_now_exception[产品已删除-551-1-500-004-不合法]",""
"passed","Thu Feb 16 21:24:47 CST 2023","Thu Feb 16 21:24:47 CST 2023","194","","test_shop_apis","TestBuyNowApi","","","test_buy_now_exception[num超过库存-541-999999999-500-451-商品库存已不足，不能购买。]",""
