2023-05-12 17:44:24 [conftest.py:54  ] [ INFO] 日志对象初始化成功
2023-05-12 17:44:24 [clinet.py:52  ] [ INFO] 接口的url是:http://www.mtxshop.com:7002/passport/login
2023-05-12 17:44:24 [clinet.py:52  ] [ INFO] 接口的method是:post
2023-05-12 17:44:24 [clinet.py:52  ] [ INFO] 接口的headers是:{'Authorization': ''}
2023-05-12 17:44:24 [clinet.py:52  ] [ INFO] 接口的params是:None
2023-05-12 17:44:24 [clinet.py:52  ] [ INFO] 接口的data是:{'username': 'hongyao', 'password': 'e10adc3949ba59abbe56e057f20f883e', 'captcha': '1512', 'uuid': 'asdjhsadhahsddhds'}
2023-05-12 17:44:24 [clinet.py:52  ] [ INFO] 接口的json是:None
2023-05-12 17:44:24 [clinet.py:52  ] [ INFO] 接口的files是:None
2023-05-12 17:44:25 [clinet.py:59  ] [ INFO] 接口响应状态码是:200
2023-05-12 17:44:25 [clinet.py:60  ] [ INFO] 接口响应信息是:{"uid":63459,"username":"hongyao","nickname":"hongyao","access_token":"eyJhbGciOiJIUzUxMiJ9.eyJ1aWQiOjYzNDU5LCJzdWIiOiJCVVlFUiIsInJvbGVzIjpbIkJVWUVSIl0sImV4cCI6MTY4Mzg4NTg2MiwidXVpZCI6bnVsbCwidXNlcm5hbWUiOiJob25neWFvIn0.CFO5-tQg9pSzvsZ7zXhtd8jINLN74LDRrspl7XPKX4UNwECp_cIFM96wKWmG55wV00rpE2SIc8ilNzz9TyrRFQ","refresh_token":"eyJhbGciOiJIUzUxMiJ9.eyJ1aWQiOjYzNDU5LCJzdWIiOiJCVVlFUiIsInJvbGVzIjpbIkJVWUVSIl0sImV4cCI6MTY4Mzg4NjQ2MiwidXVpZCI6bnVsbCwidXNlcm5hbWUiOiJob25neWFvIn0.DbwLfr8jHbL8-XR2d4XoEQ8h_2O6ChjFH1jdWozzd1L4OCEyeiea6EPpKV2rcV8yaMmhbuRE2gCwv13FSlNYdA","face":null}
2023-05-12 17:44:25 [clinet.py:52  ] [ INFO] 接口的url是:http://www.mtxshop.com:7002/trade/carts
2023-05-12 17:44:25 [clinet.py:52  ] [ INFO] 接口的method是:post
2023-05-12 17:44:25 [clinet.py:52  ] [ INFO] 接口的headers是:{'Authorization': 'eyJhbGciOiJIUzUxMiJ9.eyJ1aWQiOjYzNDU5LCJzdWIiOiJCVVlFUiIsInJvbGVzIjpbIkJVWUVSIl0sImV4cCI6MTY4Mzg4NTg2MiwidXVpZCI6bnVsbCwidXNlcm5hbWUiOiJob25neWFvIn0.CFO5-tQg9pSzvsZ7zXhtd8jINLN74LDRrspl7XPKX4UNwECp_cIFM96wKWmG55wV00rpE2SIc8ilNzz9TyrRFQ'}
2023-05-12 17:44:25 [clinet.py:52  ] [ INFO] 接口的params是:None
2023-05-12 17:44:25 [clinet.py:52  ] [ INFO] 接口的data是:{'sku_id': 2737727, 'num': 1, 'activity_id': ''}
2023-05-12 17:44:25 [clinet.py:52  ] [ INFO] 接口的json是:None
2023-05-12 17:44:25 [clinet.py:52  ] [ INFO] 接口的files是:None
2023-05-12 17:44:25 [clinet.py:59  ] [ INFO] 接口响应状态码是:500
2023-05-12 17:44:25 [clinet.py:60  ] [ INFO] 接口响应信息是:{"code":"451","message":"商品已失效，请刷新购物车"}
